entity,category,modelname,correct,wrong,undefinied,documents
persons,random,llava_1_5_7b_answers,0.78,0.21,0.01,101
persons,country-gender-sensitive,llava_1_5_7b_answers,0.79,0.2,0.01,101
persons,country-sensitive,llava_1_5_7b_answers,0.81,0.19,-0.0,101
persons,gender-sensitive,llava_1_5_7b_answers,0.79,0.2,0.01,101
locations,region-country,llava_1_5_7b_answers,0.91,0.08,0.01,100
locations,country-continent,llava_1_5_7b_answers,0.92,0.06,0.02,100
locations,random,llava_1_5_7b_answers,0.94,0.05,0.01,100
locations,city-region,llava_1_5_7b_answers,0.85,0.09,0.06,100
events,same_instance,llava_1_5_7b_answers,0.85,0.15,0.0,95
events,random,llava_1_5_7b_answers,0.85,0.15,0.0,95
