entity,category,modelname,correct,wrong,undefinied,documents
persons,country-sensitive,llava_1_6_7b_answers,0.82,0.16,0.02,101
persons,country-gender-sensitive,llava_1_6_7b_answers,0.76,0.21,0.03,101
persons,random,llava_1_6_7b_answers,0.85,0.14,0.01,101
persons,gender-sensitive,llava_1_6_7b_answers,0.85,0.13,0.02,101
locations,city-region,llava_1_6_7b_answers,0.66,0.26,0.08,100
locations,random,llava_1_6_7b_answers,0.81,0.16,0.03,100
locations,region-country,llava_1_6_7b_answers,0.81,0.15,0.04,100
locations,country-continent,llava_1_6_7b_answers,0.85,0.15,0.0,100
events,random,llava_1_6_7b_answers,0.74,0.17,0.09,95
events,same_instance,llava_1_6_7b_answers,0.64,0.27,0.09,95
