entity,category,modelname,correct,wrong,undefinied,documents
persons,gender-sensitive,DV-news400-llava_1_5_7b_answers,0.84,0.15,0.01,122
persons,country-sensitive,DV-news400-llava_1_5_7b_answers,0.8,0.18,0.02,122
persons,country-gender-sensitive,DV-news400-llava_1_5_7b_answers,0.77,0.2,0.03,122
persons,random,DV-news400-llava_1_5_7b_answers,0.87,0.11,0.02,122
locations,random,DV-news400-llava_1_5_7b_answers,0.94,0.06,0.0,67
locations,region-country,DV-news400-llava_1_5_7b_answers,0.88,0.12,0.0,67
locations,country-continent,DV-news400-llava_1_5_7b_answers,0.94,0.06,0.0,67
locations,city-region,DV-news400-llava_1_5_7b_answers,0.91,0.09,-0.0,67
events,random,DV-news400-llava_1_5_7b_answers,0.84,0.16,0.0,25
events,same_instance,DV-news400-llava_1_5_7b_answers,0.76,0.2,0.04,25
