entity,category,modelname,correct,wrong,undefinied,documents
persons,random,llava_1_5_13b_answers,0.41,0.59,0.0,1318
persons,gender-sensitive,llava_1_5_13b_answers,0.42,0.58,0.0,1318
persons,country-sensitive,llava_1_5_13b_answers,0.36,0.64,0.0,1318
persons,country-gender-sensitive,llava_1_5_13b_answers,0.36,0.64,0.0,1318
locations,random,llava_1_5_13b_answers,0.34,0.66,-0.0,968
locations,country-continent,llava_1_5_13b_answers,0.31,0.69,0.0,968
locations,region-country,llava_1_5_13b_answers,0.29,0.71,0.0,968
locations,city-region,llava_1_5_13b_answers,0.28,0.72,0.0,968
events,random,llava_1_5_13b_answers,0.65,0.35,0.0,92
events,same_instance,llava_1_5_13b_answers,0.53,0.47,0.0,92
