entity,category,modelname,correct,wrong,undefinied,documents
city,random,llava_1_5_7b_answers,0.9,0.09,0.01,137
city,country-continent,llava_1_5_7b_answers,0.88,0.11,0.01,137
city,region-country,llava_1_5_7b_answers,0.89,0.09,0.02,137
city,city-region,llava_1_5_7b_answers,0.88,0.09,0.03,137
country,random,llava_1_5_7b_answers,0.93,0.06,0.01,199
country,city-region,llava_1_5_7b_answers,0.94,0.05,0.01,199
country,country-continent,llava_1_5_7b_answers,0.93,0.05,0.02,199
country,region-country,llava_1_5_7b_answers,0.95,0.04,0.01,199
continent,country-continent,llava_1_5_7b_answers,0.76,0.06,0.18,193
continent,city-region,llava_1_5_7b_answers,0.82,0.04,0.14,193
continent,region-country,llava_1_5_7b_answers,0.8,0.06,0.14,193
continent,random,llava_1_5_7b_answers,0.93,0.06,0.01,193
